Genero,Trabalho,Habitação,Conta_poupança,Conta_corrente,Finalidade,Risco,Faixa_Etaria,Faixa_Duracao,Faixa_Credito,idade_trabalho,credito_habitacao,conta_status
female,2,rent,little,little,radio/TV,0,19-28,16-27,250-1249,19-28_2,250-1249_rent,little_little
female,1,own,rich,little,car,1,29-38,4-15,250-1249,29-38_1,250-1249_own,little_rich
female,1,own,little,rich,furniture/equipment,1,39-48,4-15,2250-3249,39-48_1,2250-3249_own,rich_little
female,2,own,little,moderate,car,0,19-28,28-39,1250-2249,19-28_2,1250-2249_own,moderate_little
male,2,own,moderate,little,furniture/equipment,1,29-38,16-27,3250-4249,29-38_2,3250-4249_own,little_moderate
male,2,own,little,moderate,furniture/equipment,1,19-28,4-15,1250-2249,19-28_2,1250-2249_own,moderate_little
male,1,own,little,moderate,radio/TV,1,19-28,52-63,7250-8249,19-28_1,7250-8249_own,moderate_little
male,1,own,little,little,radio/TV,1,29-38,16-27,2250-3249,29-38_1,2250-3249_own,little_little
male,2,free,little,little,radio/TV,0,19-28,4-15,1250-2249,19-28_2,1250-2249_free,little_little
female,2,own,moderate,little,car,1,19-28,4-15,3250-4249,19-28_2,3250-4249_own,little_moderate
female,1,own,moderate,little,radio/TV,1,49-58,4-15,250-1249,49-58_1,250-1249_own,little_moderate
male,2,own,little,little,furniture/equipment,1,19-28,4-15,1250-2249,19-28_2,1250-2249_own,little_little
female,2,own,little,little,radio/TV,1,49-58,16-27,1250-2249,49-58_2,1250-2249_own,little_little
male,3,free,little,little,car,1,29-38,16-27,5250-6249,29-38_3,5250-6249_free,little_little
female,1,free,little,little,education,1,49-58,4-15,2250-3249,49-58_1,2250-3249_free,little_little
male,1,own,little,little,car,1,29-38,4-15,250-1249,29-38_1,250-1249_own,little_little
male,2,own,little,moderate,radio/TV,0,29-38,4-15,250-1249,29-38_2,250-1249_own,moderate_little
male,2,own,little,little,business,1,29-38,28-39,6250-7249,29-38_2,6250-7249_own,little_little
female,2,own,little,little,radio/TV,1,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_little
male,3,own,little,little,car,0,39-48,4-15,8250-9249,39-48_3,8250-9249_own,little_little
male,2,own,little,little,radio/TV,1,19-28,16-27,250-1249,19-28_2,250-1249_own,little_little
male,2,own,little,little,car,1,29-38,16-27,2250-3249,29-38_2,2250-3249_own,little_little
female,2,rent,rich,little,furniture/equipment,1,29-38,4-15,1250-2249,29-38_2,1250-2249_rent,little_rich
male,3,free,little,moderate,car,1,29-38,40-51,11250-12249,29-38_3,11250-12249_free,moderate_little
male,2,own,little,moderate,radio/TV,0,19-28,40-51,2250-3249,19-28_2,2250-3249_own,moderate_little
male,1,own,little,little,repairs,0,29-38,28-39,11250-12249,29-38_1,11250-12249_own,little_little
male,2,own,little,little,radio/TV,1,29-38,4-15,2250-3249,29-38_2,2250-3249_own,little_little
female,2,own,little,little,radio/TV,1,19-28,16-27,2250-3249,19-28_2,2250-3249_own,little_little
male,1,own,little,little,furniture/equipment,1,39-48,4-15,1250-2249,39-48_1,1250-2249_own,little_little
female,2,own,little,little,furniture/equipment,0,29-38,4-15,4250-5249,29-38_2,4250-5249_own,little_little
male,3,rent,moderate,little,radio/TV,1,19-28,16-27,1250-2249,19-28_3,1250-2249_rent,little_moderate
male,2,rent,rich,little,car,1,19-28,4-15,3250-4249,19-28_2,3250-4249_rent,little_rich
male,2,own,little,little,furniture/equipment,1,49-58,4-15,1250-2249,49-58_2,1250-2249_own,little_little
male,1,own,little,rich,radio/TV,1,39-48,16-27,1250-2249,39-48_1,1250-2249_own,rich_little
male,2,own,little,little,furniture/equipment,1,59-68,4-15,1250-2249,59-68_2,1250-2249_own,little_little
male,2,own,moderate,moderate,car,1,29-38,16-27,3250-4249,29-38_2,3250-4249_own,moderate_moderate
female,1,own,little,little,car,1,29-38,40-51,10250-11249,29-38_1,10250-11249_own,little_little
male,2,own,little,little,car,1,19-28,40-51,4250-5249,19-28_2,4250-5249_own,little_little
male,3,free,moderate,moderate,vacation/others,1,29-38,40-51,7250-8249,29-38_3,7250-8249_free,moderate_moderate
female,2,own,little,moderate,radio/TV,1,39-48,4-15,250-1249,39-48_2,250-1249_own,moderate_little
male,2,own,little,little,radio/TV,0,39-48,16-27,250-1249,39-48_2,250-1249_own,little_little
male,2,own,little,little,business,1,19-28,4-15,250-1249,19-28_2,250-1249_own,little_little
male,3,rent,little,moderate,car,0,19-28,28-39,9250-10249,19-28_3,9250-10249_rent,moderate_little
female,3,free,little,little,car,1,39-48,16-27,6250-7249,39-48_3,6250-7249_free,little_little
male,2,free,little,rich,car,1,49-58,40-51,4250-5249,49-58_2,4250-5249_free,rich_little
male,3,own,little,little,business,1,39-48,40-51,7250-8249,39-48_3,7250-8249_own,little_little
female,2,own,little,moderate,furniture/equipment,0,19-28,40-51,9250-10249,19-28_2,9250-10249_own,moderate_little
female,2,rent,little,little,car,1,19-28,4-15,4250-5249,19-28_2,4250-5249_rent,little_little
male,1,own,little,little,car,1,39-48,4-15,1250-2249,39-48_1,1250-2249_own,little_little
male,2,own,little,little,furniture/equipment,1,39-48,16-27,2250-3249,39-48_2,2250-3249_own,little_little
male,2,own,rich,moderate,furniture/equipment,1,29-38,16-27,2250-3249,29-38_2,2250-3249_own,moderate_rich
female,0,own,little,little,car,1,49-58,4-15,250-1249,49-58_0,250-1249_own,little_little
female,2,own,little,moderate,radio/TV,0,39-48,28-39,3250-4249,39-48_2,3250-4249_own,moderate_little
male,1,own,little,rich,car,0,29-38,16-27,1250-2249,29-38_1,1250-2249_own,rich_little
male,2,own,little,little,car,1,39-48,4-15,250-1249,39-48_2,250-1249_own,little_little
male,2,free,rich,little,car,0,39-48,40-51,9250-10249,39-48_2,9250-10249_free,little_rich
male,2,own,rich,little,furniture/equipment,1,29-38,4-15,1250-2249,29-38_2,1250-2249_own,little_rich
female,1,rent,little,little,car,1,19-28,28-39,4250-5249,19-28_1,4250-5249_rent,little_little
male,1,own,moderate,little,radio/TV,0,29-38,4-15,250-1249,29-38_1,250-1249_own,little_moderate
female,2,own,little,moderate,furniture/equipment,0,19-28,4-15,250-1249,19-28_2,250-1249_own,moderate_little
male,1,rent,little,moderate,car,1,19-28,4-15,250-1249,19-28_1,250-1249_rent,moderate_little
male,0,free,little,moderate,vacation/others,1,39-48,40-51,5250-6249,39-48_0,5250-6249_free,moderate_little
male,2,own,moderate,little,furniture/equipment,1,19-28,16-27,5250-6249,19-28_2,5250-6249_own,little_moderate
female,2,own,little,rich,furniture/equipment,1,19-28,16-27,3250-4249,19-28_2,3250-4249_own,rich_little
male,1,own,little,moderate,car,0,19-28,4-15,250-1249,19-28_1,250-1249_own,moderate_little
male,1,own,little,rich,car,1,19-28,4-15,1250-2249,19-28_1,1250-2249_own,rich_little
male,2,own,little,little,furniture/equipment,0,29-38,28-39,2250-3249,29-38_2,2250-3249_own,little_little
male,1,own,little,little,furniture/equipment,1,29-38,4-15,250-1249,29-38_1,250-1249_own,little_little
female,1,own,little,moderate,furniture/equipment,1,39-48,16-27,4250-5249,39-48_1,4250-5249_own,moderate_little
male,2,own,little,little,education,1,29-38,4-15,250-1249,29-38_2,250-1249_own,little_little
female,1,own,little,little,furniture/equipment,1,19-28,4-15,3250-4249,19-28_1,3250-4249_own,little_little
male,3,own,little,moderate,car,0,19-28,28-39,3250-4249,19-28_3,3250-4249_own,moderate_little
male,2,own,little,little,radio/TV,0,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_little
male,3,free,little,little,car,1,29-38,16-27,2250-3249,29-38_3,2250-3249_free,little_little
male,2,own,rich,little,furniture/equipment,1,19-28,16-27,2250-3249,19-28_2,2250-3249_own,little_rich
female,2,own,little,little,car,1,29-38,16-27,250-1249,29-38_2,250-1249_own,little_little
male,1,own,little,little,car,1,29-38,4-15,3250-4249,29-38_1,3250-4249_own,little_little
male,2,rent,little,little,furniture/equipment,1,39-48,4-15,5250-6249,39-48_2,5250-6249_rent,little_little
female,2,own,rich,little,car,1,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_rich
male,2,own,little,rich,radio/TV,1,29-38,28-39,4250-5249,29-38_2,4250-5249_own,rich_little
male,2,own,little,moderate,radio/TV,1,19-28,4-15,250-1249,19-28_2,250-1249_own,moderate_little
male,3,free,little,little,car,1,69-78,16-27,6250-7249,69-78_3,6250-7249_free,little_little
female,2,own,moderate,little,education,0,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_moderate
female,3,own,moderate,moderate,car,0,19-28,52-63,7250-8249,19-28_3,7250-8249_own,moderate_moderate
female,1,rent,moderate,little,car,0,19-28,40-51,11250-12249,19-28_1,11250-12249_rent,little_moderate
male,2,rent,little,little,furniture/equipment,0,19-28,16-27,3250-4249,19-28_2,3250-4249_rent,little_little
male,3,rent,little,little,furniture/equipment,0,39-48,4-15,3250-4249,39-48_3,3250-4249_rent,little_little
female,1,own,little,moderate,radio/TV,1,19-28,4-15,1250-2249,19-28_1,1250-2249_own,moderate_little
female,2,rent,little,little,domestic appliances,0,19-28,4-15,1250-2249,19-28_2,1250-2249_rent,little_little
male,2,own,little,little,furniture/equipment,1,19-28,16-27,3250-4249,19-28_2,3250-4249_own,little_little
male,1,own,little,moderate,furniture/equipment,1,29-38,4-15,1250-2249,29-38_1,1250-2249_own,moderate_little
female,2,free,little,moderate,education,1,19-28,16-27,5250-6249,19-28_2,5250-6249_free,moderate_little
female,1,rent,little,little,furniture/equipment,1,19-28,16-27,3250-4249,19-28_1,3250-4249_rent,little_little
male,2,rent,rich,moderate,radio/TV,1,19-28,16-27,2250-3249,19-28_2,2250-3249_rent,moderate_rich
male,3,own,little,moderate,business,1,29-38,16-27,4250-5249,29-38_3,4250-5249_own,moderate_little
male,1,own,little,rich,car,1,29-38,4-15,3250-4249,29-38_1,3250-4249_own,rich_little
female,1,own,little,little,radio/TV,1,39-48,4-15,1250-2249,39-48_1,1250-2249_own,little_little
male,2,own,little,moderate,radio/TV,1,19-28,4-15,250-1249,19-28_2,250-1249_own,moderate_little
female,0,rent,rich,moderate,radio/TV,1,19-28,16-27,3250-4249,19-28_0,3250-4249_rent,moderate_rich
male,1,own,moderate,little,business,1,29-38,4-15,1250-2249,29-38_1,1250-2249_own,little_moderate
male,2,free,rich,moderate,education,0,29-38,4-15,250-1249,29-38_2,250-1249_free,moderate_rich
female,2,rent,little,little,domestic appliances,1,19-28,4-15,250-1249,19-28_2,250-1249_rent,little_little
female,2,own,little,moderate,furniture/equipment,0,19-28,4-15,250-1249,19-28_2,250-1249_own,moderate_little
male,3,own,little,little,car,1,29-38,16-27,2250-3249,29-38_3,2250-3249_own,little_little
male,2,rent,little,little,radio/TV,0,19-28,4-15,5250-6249,19-28_2,5250-6249_rent,little_little
male,2,free,rich,little,education,1,39-48,4-15,250-1249,39-48_2,250-1249_free,little_rich
male,1,own,little,moderate,car,0,19-28,16-27,250-1249,19-28_1,250-1249_own,moderate_little
male,2,own,little,little,radio/TV,1,39-48,4-15,2250-3249,39-48_2,2250-3249_own,little_little
male,3,own,little,little,radio/TV,0,19-28,28-39,4250-5249,19-28_3,4250-5249_own,little_little
male,2,own,little,little,radio/TV,1,19-28,4-15,250-1249,19-28_2,250-1249_own,little_little
female,2,rent,little,little,furniture/equipment,0,19-28,28-39,2250-3249,19-28_2,2250-3249_rent,little_little
male,2,free,little,moderate,education,1,59-68,16-27,250-1249,59-68_2,250-1249_free,moderate_little
male,3,own,little,rich,radio/TV,1,29-38,4-15,3250-4249,29-38_3,3250-4249_own,rich_little
female,2,own,little,rich,car,1,29-38,4-15,1250-2249,29-38_2,1250-2249_own,rich_little
male,2,rent,little,little,furniture/equipment,1,19-28,4-15,1250-2249,19-28_2,1250-2249_rent,little_little
male,0,own,little,little,furniture/equipment,0,19-28,16-27,2250-3249,19-28_0,2250-3249_own,little_little
male,2,own,little,little,business,1,29-38,4-15,1250-2249,29-38_2,1250-2249_own,little_little
male,2,own,little,little,car,1,19-28,16-27,3250-4249,19-28_2,3250-4249_own,little_little
female,2,rent,little,little,furniture/equipment,1,19-28,16-27,3250-4249,19-28_2,3250-4249_rent,little_little
male,2,own,little,little,furniture/equipment,0,39-48,28-39,3250-4249,39-48_2,3250-4249_own,little_little
female,2,rent,little,moderate,furniture/equipment,1,39-48,16-27,2250-3249,39-48_2,2250-3249_rent,moderate_little
male,2,own,little,little,car,1,29-38,28-39,2250-3249,29-38_2,2250-3249_own,little_little
male,2,own,little,little,radio/TV,1,29-38,16-27,5250-6249,29-38_2,5250-6249_own,little_little
female,2,rent,little,little,furniture/equipment,1,19-28,4-15,1250-2249,19-28_2,1250-2249_rent,little_little
male,3,free,little,little,car,1,59-68,52-63,13250-14249,59-68_3,13250-14249_free,little_little
female,3,free,moderate,moderate,vacation/others,0,59-68,52-63,14250-15249,59-68_3,14250-15249_free,moderate_moderate
female,2,rent,little,little,business,0,29-38,40-51,7250-8249,29-38_2,7250-8249_rent,little_little
male,2,own,little,little,radio/TV,1,29-38,16-27,2250-3249,29-38_2,2250-3249_own,little_little
male,2,free,little,little,radio/TV,1,29-38,4-15,250-1249,29-38_2,250-1249_free,little_little
male,3,free,little,moderate,car,0,49-58,28-39,14250-15249,49-58_3,14250-15249_free,moderate_little
female,1,own,moderate,little,car,1,49-58,4-15,250-1249,49-58_1,250-1249_own,little_moderate
male,2,own,little,little,furniture/equipment,1,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_little
female,3,free,little,moderate,car,0,29-38,16-27,12250-13249,29-38_3,12250-13249_free,moderate_little
female,2,rent,little,little,car,1,19-28,16-27,1250-2249,19-28_2,1250-2249_rent,little_little
male,2,own,little,rich,car,1,19-28,4-15,1250-2249,19-28_2,1250-2249_own,rich_little
male,1,own,moderate,little,business,1,19-28,28-39,4250-5249,19-28_1,4250-5249_own,little_moderate
female,2,own,little,little,radio/TV,1,19-28,16-27,1250-2249,19-28_2,1250-2249_own,little_little
female,2,rent,little,little,radio/TV,1,19-28,16-27,250-1249,19-28_2,250-1249_rent,little_little
male,3,own,little,moderate,furniture/equipment,1,39-48,16-27,7250-8249,39-48_3,7250-8249_own,moderate_little
male,2,own,rich,moderate,business,1,19-28,4-15,2250-3249,19-28_2,2250-3249_own,moderate_rich
female,2,own,little,little,business,1,19-28,4-15,1250-2249,19-28_2,1250-2249_own,little_little
male,3,own,little,little,car,1,29-38,16-27,1250-2249,29-38_3,1250-2249_own,little_little
female,1,rent,rich,moderate,furniture/equipment,1,19-28,4-15,250-1249,19-28_1,250-1249_rent,moderate_rich
male,3,free,little,little,car,1,29-38,28-39,2250-3249,29-38_3,2250-3249_free,little_little
female,2,own,little,little,radio/TV,1,29-38,4-15,1250-2249,29-38_2,1250-2249_own,little_little
male,3,own,little,little,furniture/equipment,1,29-38,4-15,2250-3249,29-38_3,2250-3249_own,little_little
male,2,rent,moderate,moderate,education,1,29-38,28-39,11250-12249,29-38_2,11250-12249_rent,moderate_moderate
female,3,free,little,little,furniture/equipment,1,49-58,4-15,2250-3249,49-58_3,2250-3249_free,little_little
male,2,own,little,little,furniture/equipment,1,39-48,28-39,2250-3249,39-48_2,2250-3249_own,little_little
male,2,rent,little,moderate,car,0,39-48,4-15,250-1249,39-48_2,250-1249_rent,moderate_little
female,1,own,rich,little,radio/TV,1,39-48,16-27,1250-2249,39-48_1,1250-2249_own,little_rich
male,2,own,little,little,radio/TV,1,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_little
male,2,own,little,moderate,business,1,19-28,16-27,1250-2249,19-28_2,1250-2249_own,moderate_little
male,2,own,little,little,business,0,19-28,16-27,8250-9249,19-28_2,8250-9249_own,little_little
male,1,own,little,little,car,1,19-28,4-15,250-1249,19-28_1,250-1249_own,little_little
male,2,own,little,moderate,car,1,39-48,16-27,2250-3249,39-48_2,2250-3249_own,moderate_little
male,2,own,little,moderate,radio/TV,0,19-28,16-27,1250-2249,19-28_2,1250-2249_own,moderate_little
male,2,own,little,little,car,1,39-48,16-27,1250-2249,39-48_2,1250-2249_own,little_little
male,2,own,little,little,radio/TV,1,19-28,4-15,250-1249,19-28_2,250-1249_own,little_little
male,3,own,rich,little,radio/TV,1,19-28,16-27,2250-3249,19-28_3,2250-3249_own,little_rich
male,2,own,rich,rich,car,0,19-28,4-15,250-1249,19-28_2,250-1249_own,rich_rich
female,2,own,little,moderate,radio/TV,1,19-28,16-27,1250-2249,19-28_2,1250-2249_own,moderate_little
male,3,own,little,little,car,1,29-38,28-39,7250-8249,29-38_3,7250-8249_own,little_little
male,3,own,little,little,business,0,39-48,4-15,2250-3249,39-48_3,2250-3249_own,little_little
male,1,rent,rich,little,car,1,39-48,4-15,1250-2249,39-48_1,1250-2249_rent,little_rich
female,2,own,little,little,car,0,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_little
male,2,own,little,little,car,1,29-38,28-39,5250-6249,29-38_2,5250-6249_own,little_little
male,1,own,little,little,car,0,29-38,4-15,2250-3249,29-38_1,2250-3249_own,little_little
female,2,rent,little,little,education,1,19-28,16-27,8250-9249,19-28_2,8250-9249_rent,little_little
female,3,own,rich,little,car,1,29-38,16-27,2250-3249,29-38_3,2250-3249_own,little_rich
female,2,own,little,moderate,car,0,29-38,16-27,250-1249,29-38_2,250-1249_own,moderate_little
female,2,rent,rich,little,car,1,19-28,4-15,2250-3249,19-28_2,2250-3249_rent,little_rich
male,2,own,little,moderate,car,1,29-38,4-15,1250-2249,29-38_2,1250-2249_own,moderate_little
male,1,own,little,moderate,car,1,39-48,4-15,250-1249,39-48_1,250-1249_own,moderate_little
male,3,own,moderate,little,furniture/equipment,1,29-38,16-27,1250-2249,29-38_3,1250-2249_own,little_moderate
female,2,own,little,moderate,furniture/equipment,0,19-28,4-15,2250-3249,19-28_2,2250-3249_own,moderate_little
male,2,rent,little,moderate,car,1,19-28,16-27,2250-3249,19-28_2,2250-3249_rent,moderate_little
male,2,own,little,little,radio/TV,1,19-28,16-27,2250-3249,19-28_2,2250-3249_own,little_little
male,2,own,rich,little,radio/TV,1,39-48,16-27,250-1249,39-48_2,250-1249_own,little_rich
male,2,own,little,little,furniture/equipment,1,19-28,4-15,1250-2249,19-28_2,1250-2249_own,little_little
female,0,free,little,little,repairs,0,49-58,16-27,250-1249,49-58_0,250-1249_free,little_little
male,1,own,little,little,business,1,69-78,4-15,3250-4249,69-78_1,3250-4249_own,little_little
male,3,own,little,moderate,vacation/others,0,19-28,16-27,11250-12249,19-28_3,11250-12249_own,moderate_little
male,3,free,little,little,furniture/equipment,1,29-38,4-15,1250-2249,29-38_3,1250-2249_free,little_little
male,2,own,little,little,repairs,1,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_little
male,2,own,little,little,furniture/equipment,1,19-28,4-15,1250-2249,19-28_2,1250-2249_own,little_little
male,2,own,little,moderate,radio/TV,0,19-28,4-15,1250-2249,19-28_2,1250-2249_own,moderate_little
male,1,rent,rich,little,repairs,1,19-28,4-15,250-1249,19-28_1,250-1249_rent,little_rich
female,2,own,rich,little,car,1,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_rich
male,0,own,little,little,repairs,1,59-68,40-51,3250-4249,59-68_0,3250-4249_own,little_little
female,0,own,little,rich,business,0,19-28,4-15,250-1249,19-28_0,250-1249_own,rich_little
male,3,own,little,little,car,1,29-38,4-15,1250-2249,29-38_3,1250-2249_own,little_little
female,2,own,little,little,furniture/equipment,1,29-38,4-15,1250-2249,29-38_2,1250-2249_own,little_little
male,2,own,little,moderate,vacation/others,1,19-28,16-27,2250-3249,19-28_2,2250-3249_own,moderate_little
male,1,own,little,little,education,0,39-48,4-15,250-1249,39-48_1,250-1249_own,little_little
female,3,own,little,moderate,furniture/equipment,0,29-38,40-51,4250-5249,29-38_3,4250-5249_own,moderate_little
female,1,rent,little,little,education,1,39-48,4-15,250-1249,39-48_1,250-1249_rent,little_little
female,2,own,little,little,car,0,29-38,28-39,1250-2249,29-38_2,1250-2249_own,little_little
male,2,own,little,moderate,radio/TV,1,29-38,4-15,2250-3249,29-38_2,2250-3249_own,moderate_little
female,3,own,little,rich,furniture/equipment,1,49-58,4-15,1250-2249,49-58_3,1250-2249_own,rich_little
male,2,own,rich,moderate,repairs,0,59-68,4-15,1250-2249,59-68_2,1250-2249_own,moderate_rich
male,3,own,little,little,car,1,29-38,28-39,10250-11249,29-38_3,10250-11249_own,little_little
female,2,own,little,little,radio/TV,1,19-28,4-15,250-1249,19-28_2,250-1249_own,little_little
male,2,own,little,little,furniture/equipment,1,29-38,4-15,2250-3249,29-38_2,2250-3249_own,little_little
male,3,own,little,little,car,1,29-38,16-27,2250-3249,29-38_3,2250-3249_own,little_little
male,2,own,little,little,car,0,29-38,16-27,4250-5249,29-38_2,4250-5249_own,little_little
female,3,own,little,little,car,1,19-28,16-27,2250-3249,19-28_3,2250-3249_own,little_little
male,2,rent,little,little,car,1,29-38,4-15,3250-4249,29-38_2,3250-4249_rent,little_little
male,2,free,little,little,car,0,29-38,4-15,3250-4249,29-38_2,3250-4249_free,little_little
female,2,own,little,little,domestic appliances,1,19-28,4-15,250-1249,19-28_2,250-1249_own,little_little
male,2,own,little,little,radio/TV,1,29-38,16-27,4250-5249,29-38_2,4250-5249_own,little_little
male,2,own,little,little,furniture/equipment,1,29-38,28-39,3250-4249,29-38_2,3250-4249_own,little_little
male,2,own,little,little,car,1,29-38,4-15,1250-2249,29-38_2,1250-2249_own,little_little
female,3,rent,little,moderate,furniture/equipment,1,29-38,4-15,2250-3249,29-38_3,2250-3249_rent,moderate_little
male,2,own,little,moderate,education,1,29-38,4-15,250-1249,29-38_2,250-1249_own,moderate_little
male,2,own,little,little,business,1,29-38,16-27,1250-2249,29-38_2,1250-2249_own,little_little
male,2,own,little,little,car,1,59-68,16-27,2250-3249,59-68_2,2250-3249_own,little_little
female,1,rent,little,little,radio/TV,0,19-28,16-27,1250-2249,19-28_1,1250-2249_rent,little_little
male,2,own,little,little,radio/TV,1,29-38,40-51,6250-7249,29-38_2,6250-7249_own,little_little
female,2,own,little,little,business,1,19-28,28-39,2250-3249,19-28_2,2250-3249_own,little_little
male,1,own,little,little,car,1,29-38,16-27,4250-5249,29-38_1,4250-5249_own,little_little
male,2,rent,moderate,moderate,radio/TV,0,19-28,16-27,2250-3249,19-28_2,2250-3249_rent,moderate_moderate
female,2,own,little,little,education,0,19-28,4-15,250-1249,19-28_2,250-1249_own,little_little
male,1,own,little,little,car,0,19-28,4-15,250-1249,19-28_1,250-1249_own,little_little
male,3,own,little,little,education,1,29-38,4-15,250-1249,29-38_3,250-1249_own,little_little
male,2,own,little,moderate,radio/TV,0,29-38,16-27,250-1249,29-38_2,250-1249_own,moderate_little
female,2,rent,little,little,furniture/equipment,0,19-28,16-27,2250-3249,19-28_2,2250-3249_rent,little_little
male,2,own,rich,little,car,1,19-28,28-39,2250-3249,19-28_2,2250-3249_own,little_rich
male,2,own,little,rich,radio/TV,1,19-28,16-27,4250-5249,19-28_2,4250-5249_own,rich_little
male,1,own,moderate,moderate,business,1,29-38,4-15,250-1249,29-38_1,250-1249_own,moderate_moderate
male,2,own,little,little,furniture/equipment,1,39-48,4-15,1250-2249,39-48_2,1250-2249_own,little_little
female,1,own,little,moderate,radio/TV,1,19-28,4-15,3250-4249,19-28_1,3250-4249_own,moderate_little
male,2,own,little,moderate,car,1,19-28,16-27,250-1249,19-28_2,250-1249_own,moderate_little
female,2,rent,rich,little,furniture/equipment,1,49-58,28-39,3250-4249,49-58_2,3250-4249_rent,little_rich
female,2,own,rich,little,furniture/equipment,1,29-38,4-15,250-1249,29-38_2,250-1249_own,little_rich
male,2,own,rich,little,car,1,39-48,4-15,250-1249,39-48_2,250-1249_own,little_rich
male,3,own,little,moderate,car,0,39-48,4-15,250-1249,39-48_3,250-1249_own,moderate_little
male,2,own,little,little,radio/TV,1,49-58,4-15,2250-3249,49-58_2,2250-3249_own,little_little
female,2,free,little,little,car,1,59-68,16-27,3250-4249,59-68_2,3250-4249_free,little_little
male,1,rent,moderate,little,car,1,29-38,4-15,1250-2249,29-38_1,1250-2249_rent,little_moderate
male,2,rent,little,little,car,1,19-28,4-15,3250-4249,19-28_2,3250-4249_rent,little_little
male,2,own,little,little,radio/TV,1,19-28,4-15,1250-2249,19-28_2,1250-2249_own,little_little
female,3,free,little,moderate,business,0,39-48,16-27,8250-9249,39-48_3,8250-9249_free,moderate_little
female,2,own,moderate,little,radio/TV,1,19-28,4-15,250-1249,19-28_2,250-1249_own,little_moderate
male,2,own,little,moderate,radio/TV,1,29-38,4-15,250-1249,29-38_2,250-1249_own,moderate_little
male,1,rent,little,little,car,1,29-38,4-15,1250-2249,29-38_1,1250-2249_rent,little_little
male,2,own,little,little,furniture/equipment,0,19-28,16-27,2250-3249,19-28_2,2250-3249_own,little_little
male,3,rent,moderate,moderate,furniture/equipment,0,19-28,28-39,8250-9249,19-28_3,8250-9249_rent,moderate_moderate
